Kernel Type, Buffers, Queue Type, Unroll, ERT FLOPs, Elements per Bank, Data Type, Frequency (MHz)
swi,1,coalesced,4,1,0,long,319
swi,1,coalesced,4,1,0,signed_char,335
swi,1,coalesced,4,253,0,int,287
swi,1,coalesced,4,256,0,float,309
swi,1,coalesced,4,256,0,signed_char,312
swi,1,coalesced,4,2,0,float,332
swi,1,coalesced,4,2,0,signed_char,336
swi,1,coalesced,4,32,0,float,340
swi,1,coalesced,4,32,0,signed_char,338
swi,1,coalesced,4,4,0,float,329
swi,1,coalesced,4,4,0,signed_char,337
swi,1,coalesced,4,512,0,float,268
swi,1,coalesced,4,512,0,signed_char,291
swi,1,coalesced,4,64,0,float,340
swi,1,coalesced,4,64,0,long,251
swi,1,coalesced,4,64,0,signed_char,338
swi,1,coalesced,4,757,0,float,317
swi,1,coalesced,48,1,0,float,240
swi,1,coalesced,4,83,0,double,245
swi,1,coalesced,4,8,0,float,342
swi,1,coalesced,4,8,0,signed_char,321
swi,1,coalesced,512,1,0,int,230
swi,1,coalesced,512,1,0,signed_char,289
swi,1,coalesced,512,2,0,float,242
swi,1,coalesced,512,2,0,signed_char,287
swi,1,coalesced,512,3,0,float,221
swi,1,coalesced,512,4,0,signed_char,243
swi,1,coalesced,5,1,0,float,239
swi,1,coalesced,5,603,0,float,239
swi,1,coalesced,5,604,0,float,237
swi,1,coalesced,5,605,0,float,227
swi,1,coalesced,6,1,0,float,234
swi,1,coalesced,64,15,0,int,219
swi,1,coalesced,64,16,0,signed_char,279
swi,1,coalesced,64,1,0,float,322
swi,1,coalesced,64,1,0,int,314
swi,1,coalesced,64,1,0,long,295
swi,1,coalesced,64,1,0,signed_char,315
swi,1,coalesced,64,2,0,signed_char,326
swi,1,coalesced,64,32,0,float,289
swi,1,coalesced,64,32,0,signed_char,234
swi,1,coalesced,64,3,0,double,229
swi,1,coalesced,64,45,0,float,299
swi,1,coalesced,64,4,0,long,235
swi,1,coalesced,64,4,0,signed_char,342
swi,1,coalesced,64,7,0,long,198
swi,1,coalesced,64,8,0,signed_char,317
swi,1,coalesced,6,503,0,float,237
swi,1,coalesced,7,1,0,float,230
swi,1,coalesced,7,431,0,float,236
swi,1,coalesced,8,125,0,int,291
swi,1,coalesced,8,128,0,float,339
swi,1,coalesced,8,128,0,signed_char,321
swi,1,coalesced,8,16,0,double,273
swi,1,coalesced,8,16,0,float,339
swi,1,coalesced,8,16,0,long,255
swi,1,coalesced,8,16,0,signed_char,340
swi,1,coalesced,8,1,0,double,297
swi,1,coalesced,8,1,0,float,312
swi,1,coalesced,8,1,0,int,328
swi,1,coalesced,8,1,0,long,323
swi,1,coalesced,8,1,0,signed_char,335
swi,1,coalesced,8,256,0,float,330
swi,1,coalesced,8,256,0,signed_char,309
swi,1,coalesced,8,2,0,double,297
swi,1,coalesced,8,2,0,float,338
swi,1,coalesced,8,2,0,long,340
swi,1,coalesced,8,2,0,signed_char,329
swi,1,coalesced,8,32,0,double,230
swi,1,coalesced,8,32,0,float,338
swi,1,coalesced,8,32,0,long,252
swi,1,coalesced,8,32,0,signed_char,336
swi,1,coalesced,8,377,0,float,333
swi,1,coalesced,8,38,0,double,223
swi,1,coalesced,8,4,0,double,289
swi,1,coalesced,8,4,0,float,336
swi,1,coalesced,8,4,0,long,302
swi,1,coalesced,8,4,0,signed_char,336
swi,1,coalesced,8,53,0,long,246
swi,1,coalesced,8,64,0,float,340
swi,1,coalesced,8,64,0,signed_char,337
swi,1,coalesced,8,8,0,double,285
swi,1,coalesced,8,8,0,float,338
swi,1,coalesced,8,8,0,long,302
swi,1,coalesced,8,8,0,signed_char,341
swi,1,coalesced,96,1,0,float,230
swi,2,coalesced,1024,1,0,signed_char,240
swi,2,coalesced,1024,2,0,signed_char,226
swi,2,coalesced,1,1024,0,float,288
swi,2,coalesced,1,1024,0,signed_char,316
swi,2,coalesced,1,108,0,long,286
swi,2,coalesced,1,110,0,long,280
swi,2,coalesced,1,120,0,long,269
swi,2,coalesced,1,128,0,double,257
swi,2,coalesced,1,128,0,float,336
swi,2,coalesced,1,128,0,int,302
swi,2,coalesced,1,128,0,long,279
swi,2,coalesced,1,128,0,signed_char,336
swi,2,coalesced,1,140,0,long,276
swi,2,coalesced,1,150,0,double,269
swi,2,coalesced,1,150,0,long,294
swi,2,coalesced,1,1515,0,float,301
swi,2,coalesced,1,1515,0,float_def,246
swi,2,coalesced,1,1515,0,float_regbc,301
swi,2,coalesced,1,155,0,double,246
swi,2,coalesced,1,157,0,double,266
swi,2,coalesced,1,159,0,double,244
swi,2,coalesced,1,16,0,double,291
swi,2,coalesced,1,16,0,float,302
swi,2,coalesced,1,16,0,int,305
swi,2,coalesced,1,16,0,long,311
swi,2,coalesced,1,16,0,signed_char,331
swi,2,coalesced,1,170,0,long,291
swi,2,coalesced,1,180,0,long,269
swi,2,coalesced,1,190,0,long,269
swi,2,coalesced,1,1,0,double,304
swi,2,coalesced,1,1,0,float,323
swi,2,coalesced,1,1,0,float_def,252
swi,2,coalesced,1,1,0,float_def_regb,252
swi,2,coalesced,1,1,0,int,317
swi,2,coalesced,1,1,0,long,317
swi,2,coalesced,1,1,0,signed_char,337
swi,2,coalesced,1,200,0,long,263
swi,2,coalesced,1,210,0,long,283
swi,2,coalesced,1,212,0,long,267
swi,2,coalesced,1,213,0,long,279
swi,2,coalesced,1,214,0,long,271
swi,2,coalesced,1,215,0,long,282
swi,2,coalesced,1,256,0,float,320
swi,2,coalesced,1,256,0,int,310
swi,2,coalesced,1,256,0,signed_char,331
swi,2,coalesced,128,1,0,float,242
swi,2,coalesced,128,1,0,int,215
swi,2,coalesced,128,1,0,long,190
swi,2,coalesced,128,1,0,signed_char,308
swi,2,coalesced,128,2,0,float,217
swi,2,coalesced,128,2,0,int,198
swi,2,coalesced,128,2,0,signed_char,313
swi,2,coalesced,128,3,0,int,224
swi,2,coalesced,128,4,0,float,249
swi,2,coalesced,128,4,0,signed_char,307
swi,2,coalesced,128,8,0,float,211
swi,2,coalesced,128,8,0,signed_char,249
swi,2,coalesced,128,9,0,float,227
swi,2,coalesced,1,2,0,double,305
swi,2,coalesced,1,2,0,float,305
swi,2,coalesced,1,2,0,int,317
swi,2,coalesced,1,2,0,long,324
swi,2,coalesced,1,2,0,signed_char,331
swi,2,coalesced,1,32,0,double,295
swi,2,coalesced,1,32,0,float,301
swi,2,coalesced,1,32,0,int,307
swi,2,coalesced,1,32,0,long,305
swi,2,coalesced,1,32,0,signed_char,322
swi,2,coalesced,1,4,0,double,298
swi,2,coalesced,1,4,0,float,304
swi,2,coalesced,1,4,0,int,330
swi,2,coalesced,1,4,0,long,302
swi,2,coalesced,1,4,0,signed_char,335
swi,2,coalesced,1,500,0,int,289
swi,2,coalesced,1,505,0,int,277
swi,2,coalesced,1,512,0,float,318
swi,2,coalesced,1,512,0,signed_char,307
swi,2,coalesced,16,10,0,long,203
swi,2,coalesced,16,12,0,long,212
swi,2,coalesced,16,13,0,long,206
swi,2,coalesced,16,16,0,float,300
swi,2,coalesced,16,16,0,int,259
swi,2,coalesced,16,16,0,signed_char,317
swi,2,coalesced,16,1,0,double,288
swi,2,coalesced,16,1,0,float,311
swi,2,coalesced,16,1,0,int,288
swi,2,coalesced,16,1,0,long,306
swi,2,coalesced,16,1,0,signed_char,339
swi,2,coalesced,16,2,0,double,289
swi,2,coalesced,16,2,0,float,311
swi,2,coalesced,16,2,0,long,292
swi,2,coalesced,16,2,0,signed_char,335
swi,2,coalesced,16,30,0,int,228
swi,2,coalesced,16,31,0,int,230
swi,2,coalesced,16,32,0,float,303
swi,2,coalesced,16,32,0,signed_char,284
swi,2,coalesced,1,64,0,double,282
swi,2,coalesced,16,4,0,double,258
swi,2,coalesced,1,64,0,float,307
swi,2,coalesced,16,4,0,float,331
swi,2,coalesced,1,64,0,int,325
swi,2,coalesced,1,64,0,long,273
swi,2,coalesced,16,4,0,long,277
swi,2,coalesced,1,64,0,signed_char,344
swi,2,coalesced,16,4,0,signed_char,341
swi,2,coalesced,16,64,0,float,252
swi,2,coalesced,16,64,0,signed_char,270
swi,2,coalesced,16,6,0,long,242
swi,2,coalesced,16,7,0,double,204
swi,2,coalesced,16,7,0,long,216
swi,2,coalesced,16,8,0,double,221
swi,2,coalesced,16,8,0,float,277
swi,2,coalesced,16,8,0,long,224
swi,2,coalesced,16,8,0,signed_char,333
swi,2,coalesced,16,92,0,float,297
swi,2,coalesced,16,93,0,float,283
swi,2,coalesced,16,9,0,double,204
swi,2,coalesced,1,79,0,double,265
swi,2,coalesced,1,8,0,double,295
swi,2,coalesced,1,8,0,float,311
swi,2,coalesced,1,8,0,int,328
swi,2,coalesced,1,8,0,long,302
swi,2,coalesced,1,8,0,signed_char,325
swi,2,coalesced,1,92,0,long,285
swi,2,coalesced,2,106,0,long,265
swi,2,coalesced,2,107,0,long,267
swi,2,coalesced,2,128,0,float,318
swi,2,coalesced,2,128,0,int,298
swi,2,coalesced,2,128,0,signed_char,320
swi,2,coalesced,2,16,0,double,280
swi,2,coalesced,2,16,0,float,307
swi,2,coalesced,2,16,0,int,304
swi,2,coalesced,2,16,0,long,304
swi,2,coalesced,2,16,0,signed_char,337
swi,2,coalesced,2,1,0,double,289
swi,2,coalesced,2,1,0,float,317
swi,2,coalesced,2,1,0,int,330
swi,2,coalesced,2,1,0,long,328
swi,2,coalesced,2,1,0,signed_char,325
swi,2,coalesced,2,252,0,int,291
swi,2,coalesced,2,253,0,int,293
swi,2,coalesced,2,256,0,float,305
swi,2,coalesced,2,256,0,signed_char,323
swi,2,coalesced,2,2,0,double,291
swi,2,coalesced,2,2,0,float,333
swi,2,coalesced,2,2,0,int,309
swi,2,coalesced,2,2,0,long,308
swi,2,coalesced,2,2,0,signed_char,320
swi,2,coalesced,2,32,0,double,260
swi,2,coalesced,2,32,0,float,332
swi,2,coalesced,2,32,0,int,313
swi,2,coalesced,2,32,0,long,266
swi,2,coalesced,2,32,0,signed_char,330
swi,2,coalesced,2,39,0,double,255
swi,2,coalesced,2,4,0,double,300
swi,2,coalesced,2,4,0,float,317
swi,2,coalesced,2,4,0,int,322
swi,2,coalesced,2,4,0,long,304
swi,2,coalesced,2,4,0,signed_char,341
swi,2,coalesced,2,512,0,float,296
swi,2,coalesced,2,512,0,signed_char,277
swi,2,coalesced,2,54,0,long,278
swi,2,coalesced,2,55,0,long,254
swi,2,coalesced,256,1,0,float,215
swi,2,coalesced,256,1,0,int,207
swi,2,coalesced,256,1,0,signed_char,237
swi,2,coalesced,256,2,0,float,229
swi,2,coalesced,256,2,0,signed_char,292
swi,2,coalesced,256,3,0,float,212
swi,2,coalesced,256,4,0,signed_char,252
swi,2,coalesced,2,64,0,double,243
swi,2,coalesced,2,64,0,float,330
swi,2,coalesced,2,64,0,int,311
swi,2,coalesced,2,64,0,long,262
swi,2,coalesced,2,64,0,signed_char,322
swi,2,coalesced,2,757,0,float,314
swi,2,coalesced,2,75,0,double,244
swi,2,coalesced,2,82,0,double,229
swi,2,coalesced,2,83,0,double,234
swi,2,coalesced,2,8,0,double,296
swi,2,coalesced,2,8,0,float,335
swi,2,coalesced,2,8,0,int,301
swi,2,coalesced,2,8,0,long,310
swi,2,coalesced,2,8,0,signed_char,335
swi,2,coalesced,3,1,0,float,227
swi,2,coalesced,32,15,0,int,216
swi,2,coalesced,32,16,0,float,297
swi,2,coalesced,32,16,0,signed_char,289
swi,2,coalesced,32,1,0,double,241
swi,2,coalesced,32,1,0,float,294
swi,2,coalesced,32,1,0,int,276
swi,2,coalesced,32,1,0,long,280
swi,2,coalesced,32,1,0,signed_char,316
swi,2,coalesced,32,2,0,double,271
swi,2,coalesced,32,2,0,float,284
swi,2,coalesced,32,2,0,int,293
swi,2,coalesced,32,2,0,long,210
swi,2,coalesced,32,2,0,signed_char,334
swi,2,coalesced,32,32,0,float,259
swi,2,coalesced,32,32,0,signed_char,258
swi,2,coalesced,32,3,0,double,222
swi,2,coalesced,32,3,0,long,242
swi,2,coalesced,32,45,0,float,227
swi,2,coalesced,32,4,0,double,228
swi,2,coalesced,32,4,0,float,307
swi,2,coalesced,32,4,0,int,278
swi,2,coalesced,32,4,0,long,242
swi,2,coalesced,32,4,0,signed_char,317
swi,2,coalesced,32,5,0,double,198
swi,2,coalesced,32,7,0,long,197
swi,2,coalesced,32,8,0,float,296
swi,2,coalesced,32,8,0,int,256
swi,2,coalesced,32,8,0,signed_char,340
swi,2,coalesced,3,503,0,float,236
swi,2,coalesced,4,125,0,int,291
swi,2,coalesced,4,128,0,float,326
swi,2,coalesced,4,128,0,signed_char,323
swi,2,coalesced,4,16,0,double,279
swi,2,coalesced,4,16,0,float,327
swi,2,coalesced,4,16,0,int,293
swi,2,coalesced,4,16,0,long,232
swi,2,coalesced,4,16,0,signed_char,317
swi,2,coalesced,4,19,0,double,247
swi,2,coalesced,4,1,0,double,293
swi,2,coalesced,4,1,0,float,321
swi,2,coalesced,4,1,0,int,318
swi,2,coalesced,4,1,0,long,316
swi,2,coalesced,4,1,0,signed_char,336
swi,2,coalesced,4,256,0,float,297
swi,2,coalesced,4,256,0,signed_char,274
swi,2,coalesced,4,27,0,long,239
swi,2,coalesced,4,28,0,long,246
swi,2,coalesced,4,2,0,double,288
swi,2,coalesced,4,2,0,float,333
swi,2,coalesced,4,2,0,int,315
swi,2,coalesced,4,2,0,long,334
swi,2,coalesced,4,2,0,signed_char,322
swi,2,coalesced,4,32,0,double,227
swi,2,coalesced,4,32,0,float,327
swi,2,coalesced,4,32,0,int,328
swi,2,coalesced,4,32,0,long,242
swi,2,coalesced,4,32,0,signed_char,331
swi,2,coalesced,4,36,0,double,235
swi,2,coalesced,4,377,0,float,294
swi,2,coalesced,4,38,0,double,239
swi,2,coalesced,4,39,0,double,227
swi,2,coalesced,4,4,0,double,295
swi,2,coalesced,4,4,0,float,319
swi,2,coalesced,4,4,0,int,341
swi,2,coalesced,4,4,0,long,302
swi,2,coalesced,4,4,0,signed_char,332
swi,2,coalesced,4,53,0,long,235
swi,2,coalesced,4,64,0,float,322
swi,2,coalesced,4,64,0,int,288
swi,2,coalesced,4,64,0,signed_char,295
swi,2,coalesced,4,8,0,double,267
swi,2,coalesced,4,8,0,float,318
swi,2,coalesced,4,8,0,int,328
swi,2,coalesced,4,8,0,long,290
swi,2,coalesced,4,8,0,signed_char,321
swi,2,coalesced,512,1,0,float,156
swi,2,coalesced,512,2,0,signed_char,281
swi,2,coalesced,5,1,0,float,234
swi,2,coalesced,5,300,0,float,228
swi,2,coalesced,5,301,0,float,234
swi,2,coalesced,6,1,0,float,243
swi,2,coalesced,6,250,0,float,234
swi,2,coalesced,6,251,0,float,238
swi,2,coalesced,64,16,0,float,258
swi,2,coalesced,64,16,0,signed_char,237
swi,2,coalesced,64,1,0,double,255
swi,2,coalesced,64,1,0,float,284
swi,2,coalesced,64,1,0,int,283
swi,2,coalesced,64,1,0,long,216
swi,2,coalesced,64,1,0,signed_char,322
swi,2,coalesced,64,21,0,float,253
swi,2,coalesced,64,2,0,float,299
swi,2,coalesced,64,2,0,int,269
swi,2,coalesced,64,2,0,long,209
swi,2,coalesced,64,2,0,signed_char,303
swi,2,coalesced,64,3,0,long,204
swi,2,coalesced,64,4,0,float,290
swi,2,coalesced,64,4,0,int,269
swi,2,coalesced,64,4,0,signed_char,299
swi,2,coalesced,64,7,0,int,232
swi,2,coalesced,64,8,0,float,284
swi,2,coalesced,64,8,0,signed_char,292
swi,2,coalesced,7,1,0,float,233
swi,2,coalesced,7,215,0,float,234
swi,2,coalesced,8,10,0,double,238
swi,2,coalesced,8,128,0,float,286
swi,2,coalesced,8,128,0,signed_char,269
swi,2,coalesced,8,12,0,double,233
swi,2,coalesced,8,13,0,long,231
swi,2,coalesced,8,14,0,double,210
swi,2,coalesced,8,14,0,long,227
swi,2,coalesced,8,15,0,double,247
swi,2,coalesced,8,16,0,float,332
swi,2,coalesced,8,16,0,int,279
swi,2,coalesced,8,16,0,long,232
swi,2,coalesced,8,16,0,signed_char,309
swi,2,coalesced,8,186,0,float,274
swi,2,coalesced,8,187,0,float,292
swi,2,coalesced,8,1,0,double,285
swi,2,coalesced,8,1,0,float,337
swi,2,coalesced,8,1,0,int,316
swi,2,coalesced,8,1,0,long,313
swi,2,coalesced,8,1,0,signed_char,330
swi,2,coalesced,8,26,0,long,233
swi,2,coalesced,8,27,0,long,219
swi,2,coalesced,8,2,0,double,294
swi,2,coalesced,8,2,0,float,335
swi,2,coalesced,8,2,0,int,305
swi,2,coalesced,8,2,0,long,299
swi,2,coalesced,8,2,0,signed_char,318
swi,2,coalesced,8,32,0,float,308
swi,2,coalesced,8,32,0,int,285
swi,2,coalesced,8,32,0,signed_char,307
swi,2,coalesced,8,4,0,double,279
swi,2,coalesced,8,4,0,float,336
swi,2,coalesced,8,4,0,int,337
swi,2,coalesced,8,4,0,long,291
swi,2,coalesced,8,4,0,signed_char,337
swi,2,coalesced,8,62,0,int,258
swi,2,coalesced,8,63,0,int,252
swi,2,coalesced,8,64,0,float,334
swi,2,coalesced,8,64,0,signed_char,292
swi,2,coalesced,8,8,0,double,264
swi,2,coalesced,8,8,0,float,321
swi,2,coalesced,8,8,0,int,328
swi,2,coalesced,8,8,0,long,259
swi,2,coalesced,8,8,0,signed_char,342
,263
