        type trial_config ert_flop   unroll  buffers        nsize       trials       microsecs        bytes        flops         GB/s         GF/s
       float    coalesced       64        8        0           32       524288      314850.764     33554432    268435456        0.107        0.853
       float    coalesced       64        8        0           64       262144      158649.263     33554432    268435456        0.212        1.692
       float    coalesced       64        8        0          128       131072       80526.443     33554432    268435456        0.417        3.334
       float    coalesced       64        8        0          256        65536       41502.932     33554432    268435456        0.808        6.468
       float    coalesced       64        8        0          512        32768       21946.948     33554432    268435456        1.529       12.231
       float    coalesced       64        8        0         1024        16384       12186.239     33554432    268435456        2.753       22.028
       float    coalesced       64        8        0         2048         8192        7291.220     33554432    268435456        4.602       36.816
       float    coalesced       64        8        0         4096         4096        4895.386     33554432    268435456        6.854       54.834
       float    coalesced       64        8        0         8192         2048        3640.431     33554432    268435456        9.217       73.737
       float    coalesced       64        8        0        16384         1024        3007.574     33554432    268435456       11.157       89.253
       float    coalesced       64        8        0        32768         1024        5248.979     67108864    536870912       12.785      102.281
       float    coalesced       64        8        0        65536         1024        9564.840    134217728   1073741824       14.032      112.259
       float    coalesced       64        8        0       131072         1024       18350.101    268435456   2147483648       14.629      117.028
       float    coalesced       64        8        0       262144         1024       35838.479    536870912   4294967296       14.980      119.842
       float    coalesced       64        8        0       524288         1024       70737.419   1073741824   8589934592       15.179      121.434
       float    coalesced       64        8        0      1048576         1024      140714.059   2147483648  17179869184       15.261      122.091
       float    coalesced       64        8        0      2097152         1024      280488.723   4294967296  34359738368       15.312      122.500
       float    coalesced       64        8        0      4194304         1024      560127.311   8589934592  68719476736       15.336      122.685
       float    coalesced       64        8        0      8388608         1024     1119396.738  17179869184 137438953472       15.347      122.779
       float    coalesced       64        8        0     16777216         1024     2237873.185  34359738368 274877906944       15.354      122.830
