        type trial_config ert_flop   unroll  buffers        nsize       trials       microsecs        bytes        flops         GB/s         GF/s
      double    coalesced      317        1        1            8     67108864  1367462975.722   1073741824  21273509888        0.001        0.016
      double    coalesced      317        1        1           16     67108864  1367474608.340   2147483648  42547019776        0.002        0.031
      double    coalesced      317        1        1           32     67108864  1369701077.781   4294967296  85094039552        0.003        0.062
      double    coalesced      317        1        1           64     67108864  1374735677.393   8589934592 170188079104        0.006        0.124
      double    coalesced      317        1        1          128     33554432   690575611.954   8589934592 170188079104        0.012        0.246
      double    coalesced      317        1        1          256     16777216   349139452.835   8589934592 170188079104        0.025        0.487
      double    coalesced      317        1        1          512      8388608   176248535.854   8589934592 170188079104        0.049        0.966
      double    coalesced      317        1        1         1024      4194304    89467398.822   8589934592 170188079104        0.096        1.902
      double    coalesced      317        1        1         2048      2097152    46067381.114   8589934592 170188079104        0.186        3.694
      double    coalesced      317        1        1         4096      1048576    24554010.617   8589934592 170188079104        0.350        6.931
      double    coalesced      317        1        1         8192       524288    13533761.570   8589934592 170188079104        0.635       12.575
      double    coalesced      317        1        1        16384       262144     8075680.975   8589934592 170188079104        1.064       21.074
      double    coalesced      317        1        1        32768       131072     5330091.562   8589934592 170188079104        1.612       31.930
      double    coalesced      317        1        1        65536        65536     3984186.924   8589934592 170188079104        2.156       42.716
      double    coalesced      317        1        1       131072        32768     3301427.499   8589934592 170188079104        2.602       51.550
      double    coalesced      317        1        1       262144        16384     2960797.677   8589934592 170188079104        2.901       57.480
      double    coalesced      317        1        1       524288         8192     2789747.989   8589934592 170188079104        3.079       61.005
      double    coalesced      317        1        1      1048576         4096     2704066.873   8589934592 170188079104        3.177       62.938
      double    coalesced      317        1        1      2097152         2048     2661442.179   8589934592 170188079104        3.228       63.946
      double    coalesced      317        1        1      4194304         1024     2640169.393   8589934592 170188079104        3.254       64.461
      double    coalesced      317        1        1      8388608          512     2629473.404   8589934592 170188079104        3.267       64.723
      double    coalesced      317        1        1     16777216          256     2624232.793   8589934592 170188079104        3.273       64.853
      double    coalesced      317        1        1     33554432          128     2621603.859   8589934592 170188079104        3.277       64.918
      double    coalesced      317        1        1     67108864           64     2620280.680   8589934592 170188079104        3.278       64.950
      double    coalesced      317        1        1    134217728           32     2619568.762   8589934592 170188079104        3.279       64.968
      double    coalesced      317        1        1    268435456           16     2619264.974   8589934592 170188079104        3.280       64.976
      double    coalesced      317        1        1    536870912            8     2619093.980   8589934592 170188079104        3.280       64.980
      double    coalesced      317        1        1   1073741824            4     2621150.240   8589934592 170188079104        3.277       64.929
      double    coalesced      317        1        1   2147483648            2     2618965.573   8589934592 170188079104        3.280       64.983
      double    coalesced      317        1        1   4293918720            1     2618360.193   8587837440 170146529280        3.280       64.982
