        type trial_config ert_flop   unroll  buffers        nsize       trials       microsecs        bytes        flops         GB/s         GF/s
       float    coalesced       32        4        0           16      1048576      351600.477     33554432    134217728        0.095        0.382
       float    coalesced       32        4        0           32       524288      178074.988     33554432    134217728        0.188        0.754
       float    coalesced       32        4        0           64       262144       91431.717     33554432    134217728        0.367        1.468
       float    coalesced       32        4        0          128       131072       48046.739     33554432    134217728        0.698        2.793
       float    coalesced       32        4        0          256        65536       26414.301     33554432    134217728        1.270        5.081
       float    coalesced       32        4        0          512        32768       15480.477     33554432    134217728        2.168        8.670
       float    coalesced       32        4        0         1024        16384       10087.491     33554432    134217728        3.326       13.305
       float    coalesced       32        4        0         2048         8192        7378.983     33554432    134217728        4.547       18.189
       float    coalesced       32        4        0         4096         4096        5964.507     33554432    134217728        5.626       22.503
       float    coalesced       32        4        0         8192         2048        5297.839     33554432    134217728        6.334       25.334
       float    coalesced       32        4        0        16384         1024        4949.961     33554432    134217728        6.779       27.115
       float    coalesced       32        4        0        32768         1024        9394.802     67108864    268435456        7.143       28.573
       float    coalesced       32        4        0        65536         1024       17949.669    134217728    536870912        7.477       29.910
       float    coalesced       32        4        0       131072         1024       35289.266    268435456   1073741824        7.607       30.427
       float    coalesced       32        4        0       262144         1024       70136.806    536870912   2147483648        7.655       30.618
       float    coalesced       32        4        0       524288         1024      139394.945   1073741824   4294967296        7.703       30.811
       float    coalesced       32        4        0      1048576         1024      278050.651   2147483648   8589934592        7.723       30.893
       float    coalesced       32        4        0      2097152         1024      555511.720   4294967296  17179869184        7.732       30.926
       float    coalesced       32        4        0      4194304         1024     1110068.599   8589934592  34359738368        7.738       30.953
       float    coalesced       32        4        0      8388608         1024     2219216.600  17179869184  68719476736        7.741       30.966
       float    coalesced       32        4        0     16777216         1024     4437715.211  34359738368 137438953472        7.743       30.971
