        type trial_config ert_flop   unroll  buffers        nsize       trials       microsecs        bytes        flops         GB/s         GF/s
       float    coalesced     1514        2        0            8      2097152    25535334.135     33554432   6350176256        0.001        0.249
       float    coalesced     1514        2        0           16      1048576    12772043.841     33554432   6350176256        0.003        0.497
       float    coalesced     1514        2        0           32       524288     6390355.529     33554432   6350176256        0.005        0.994
       float    coalesced     1514        2        0           64       262144     3199559.766     33554432   6350176256        0.010        1.985
       float    coalesced     1514        2        0          128       131072     1604133.629     33554432   6350176256        0.021        3.959
       float    coalesced     1514        2        0          256        65536      806417.952     33554432   6350176256        0.042        7.875
       float    coalesced     1514        2        0          512        32768      407592.915     33554432   6350176256        0.082       15.580
       float    coalesced     1514        2        0         1024        16384      208136.384     33554432   6350176256        0.161       30.510
       float    coalesced     1514        2        0         2048         8192      108402.476     33554432   6350176256        0.310       58.580
       float    coalesced     1514        2        0         4096         4096       58568.518     33554432   6350176256        0.573      108.423
       float    coalesced     1514        2        0         8192         2048       33618.846     33554432   6350176256        0.998      188.887
       float    coalesced     1514        2        0        16384         1024       21148.590     33554432   6350176256        1.587      300.265
       float    coalesced     1514        2        0        32768         1024       29590.152     67108864  12700352512        2.268      429.209
       float    coalesced     1514        2        0        65536         1024       46316.011    134217728  25400705024        2.898      548.422
       float    coalesced     1514        2        0       131072         1024       79926.792    268435456  50801410048        3.359      635.599
       float    coalesced     1514        2        0       262144         1024      146982.311    536870912 101602820096        3.653      691.259
       float    coalesced     1514        2        0       524288         1024      281244.577   1073741824 203205640192        3.818      722.523
       float    coalesced     1514        2        0      1048576         1024      549653.809   2147483648 406411280384        3.907      739.395
       float    coalesced     1514        2        0      2097152         1024     1086509.306   4294967296 812822560768        3.953      748.105
       float    coalesced     1514        2        0      4194304         1024     2160299.241   8589934592 1625645121536        3.976      752.509
       float    coalesced     1514        2        0      8388608         1024     4307757.522  17179869184 3251290243072        3.988      754.752
       float    coalesced     1514        2        0     16777216         1024     8602730.496  34359738368 6502580486144        3.994      755.874
