        type trial_config ert_flop   unroll  buffers        nsize       trials       microsecs        bytes        flops         GB/s         GF/s
       float    coalesced       32       16        0           64       262144       89012.201     33554432    134217728        0.377        1.508
       float    coalesced       32       16        0          128       131072       45330.293     33554432    134217728        0.740        2.961
       float    coalesced       32       16        0          256        65536       23419.899     33554432    134217728        1.433        5.731
       float    coalesced       32       16        0          512        32768       12525.984     33554432    134217728        2.679       10.715
       float    coalesced       32       16        0         1024        16384        7002.991     33554432    134217728        4.791       19.166
       float    coalesced       32       16        0         2048         8192        4359.871     33554432    134217728        7.696       30.785
       float    coalesced       32       16        0         4096         4096        2882.699     33554432    134217728       11.640       46.560
       float    coalesced       32       16        0         8192         2048        2281.054     33554432    134217728       14.710       58.840
       float    coalesced       32       16        0        16384         1024        1957.040     33554432    134217728       17.146       68.582
       float    coalesced       32       16        0        32768         1024        2981.959     67108864    268435456       22.505       90.020
       float    coalesced       32       16        0        65536         1024        5177.444    134217728    536870912       25.924      103.694
       float    coalesced       32       16        0       131072         1024        9475.987    268435456   1073741824       28.328      113.312
       float    coalesced       32       16        0       262144         1024       18268.697    536870912   2147483648       29.387      117.550
       float    coalesced       32       16        0       524288         1024       35827.990   1073741824   4294967296       29.969      119.877
       float    coalesced       32       16        0      1048576         1024       70688.490   2147483648   8589934592       30.380      121.518
       float    coalesced       32       16        0      2097152         1024      140652.974   4294967296  17179869184       30.536      122.144
       float    coalesced       32       16        0      4194304         1024      280517.855   8589934592  34359738368       30.622      122.487
       float    coalesced       32       16        0      8388608         1024      560143.249  17179869184  68719476736       30.670      122.682
       float    coalesced       32       16        0     16777216         1024     1119427.419  34359738368 137438953472       30.694      122.776
