        type trial_config ert_flop   unroll  buffers        nsize       trials       microsecs        bytes        flops         GB/s         GF/s
       float    coalesced       32        4        0           16      1048576      336136.114     33554432    134217728        0.100        0.399
       float    coalesced       32        4        0           32       524288      170211.773     33554432    134217728        0.197        0.789
       float    coalesced       32        4        0           64       262144       87351.945     33554432    134217728        0.384        1.537
       float    coalesced       32        4        0          128       131072       45910.868     33554432    134217728        0.731        2.923
       float    coalesced       32        4        0          256        65536       25148.603     33554432    134217728        1.334        5.337
       float    coalesced       32        4        0          512        32768       14733.875     33554432    134217728        2.277        9.109
       float    coalesced       32        4        0         1024        16384        9561.456     33554432    134217728        3.509       14.037
       float    coalesced       32        4        0         2048         8192        6991.051     33554432    134217728        4.800       19.199
       float    coalesced       32        4        0         4096         4096        5715.054     33554432    134217728        5.871       23.485
       float    coalesced       32        4        0         8192         2048        4994.234     33554432    134217728        6.719       26.875
       float    coalesced       32        4        0        16384         1024        4670.580     33554432    134217728        7.184       28.737
       float    coalesced       32        4        0        32768         1024        8818.574     67108864    268435456        7.610       30.440
       float    coalesced       32        4        0        65536         1024       17151.684    134217728    536870912        7.825       31.301
       float    coalesced       32        4        0       131072         1024       33776.777    268435456   1073741824        7.947       31.789
       float    coalesced       32        4        0       262144         1024       66934.256    536870912   2147483648        8.021       32.083
       float    coalesced       32        4        0       524288         1024      133270.272   1073741824   4294967296        8.057       32.227
       float    coalesced       32        4        0      1048576         1024      266007.707   2147483648   8589934592        8.073       32.292
       float    coalesced       32        4        0      2097152         1024      531173.706   4294967296  17179869184        8.086       32.343
       float    coalesced       32        4        0      4194304         1024     1061630.831   8589934592  34359738368        8.091       32.365
       float    coalesced       32        4        0      8388608         1024     2122733.711  17179869184  68719476736        8.093       32.373
       float    coalesced       32        4        0     16777216         1024     4244758.022  34359738368 137438953472        8.095       32.379
