        type trial_config ert_flop   unroll  buffers        nsize       trials       microsecs        bytes        flops         GB/s         GF/s
       float    coalesced      186        8        0           32       524288      858715.372     33554432    780140544        0.039        0.908
       float    coalesced      186        8        0           64       262144      430601.121     33554432    780140544        0.078        1.812
       float    coalesced      186        8        0          128       131072      216579.130     33554432    780140544        0.155        3.602
       float    coalesced      186        8        0          256        65536      109593.893     33554432    780140544        0.306        7.118
       float    coalesced      186        8        0          512        32768       56029.853     33554432    780140544        0.599       13.924
       float    coalesced      186        8        0         1024        16384       29268.637     33554432    780140544        1.146       26.654
       float    coalesced      186        8        0         2048         8192       15855.849     33554432    780140544        2.116       49.202
       float    coalesced      186        8        0         4096         4096        9131.832     33554432    780140544        3.674       85.431
       float    coalesced      186        8        0         8192         2048        5779.780     33554432    780140544        5.805      134.978
       float    coalesced      186        8        0        16384         1024        4147.380     33554432    780140544        8.091      188.104
       float    coalesced      186        8        0        32768         1024        6355.487     67108864   1560281088       10.559      245.501
       float    coalesced      186        8        0        65536         1024       10755.402    134217728   3120562176       12.479      290.139
       float    coalesced      186        8        0       131072         1024       19619.910    268435456   6241124352       13.682      318.102
       float    coalesced      186        8        0       262144         1024       37359.372    536870912  12482248704       14.370      334.113
       float    coalesced      186        8        0       524288         1024       72810.695   1073741824  24964497408       14.747      342.869
       float    coalesced      186        8        0      1048576         1024      143570.538   2147483648  49928994816       14.958      347.766
       float    coalesced      186        8        0      2097152         1024      285185.182   4294967296  99857989632       15.060      350.151
       float    coalesced      186        8        0      4194304         1024      568265.485   8589934592 199715979264       15.116      351.448
       float    coalesced      186        8        0      8388608         1024     1134629.818  17179869184 399431958528       15.141      352.037
       float    coalesced      186        8        0     16777216         1024     2267261.778  34359738368 798863917056       15.155      352.347
