        type trial_config ert_flop   unroll  buffers        nsize       trials       microsecs        bytes        flops         GB/s         GF/s
       float    coalesced     1024        1        2            8     67108864   589172217.349   1073741824 137438953472        0.002        0.233
       float    coalesced     1024        1        2           16     67108864   589172101.305   2147483648 274877906944        0.004        0.467
       float    coalesced     1024        1        2           32     67108864   591472577.913   4294967296 549755813888        0.007        0.929
       float    coalesced     1024        1        2           64     67108864   595228435.235   8589934592 1099511627776        0.014        1.847
       float    coalesced     1024        1        2          128     67108864   602285690.916  17179869184 2199023255552        0.029        3.651
       float    coalesced     1024        1        2          256     33554432   305496848.346  17179869184 2199023255552        0.056        7.198
       float    coalesced     1024        1        2          512     16777216   157112991.042  17179869184 2199023255552        0.109       13.996
       float    coalesced     1024        1        2         1024      8388608    81050574.422  17179869184 2199023255552        0.212       27.131
       float    coalesced     1024        1        2         2048      4194304    43642792.757  17179869184 2199023255552        0.394       50.387
       float    coalesced     1024        1        2         4096      2097152    24067962.284  17179869184 2199023255552        0.714       91.367
       float    coalesced     1024        1        2         8192      1048576    14514758.616  17179869184 2199023255552        1.184      151.503
       float    coalesced     1024        1        2        16384       524288     9715742.065  17179869184 2199023255552        1.768      226.336
       float    coalesced     1024        1        2        32768       262144     7306619.855  17179869184 2199023255552        2.351      300.963
       float    coalesced     1024        1        2        65536       131072     6137666.698  17179869184 2199023255552        2.799      358.283
       float    coalesced     1024        1        2       131072        65536     5512518.668  17179869184 2199023255552        3.117      398.914
       float    coalesced     1024        1        2       262144        32768     5210685.038  17179869184 2199023255552        3.297      422.022
       float    coalesced     1024        1        2       524288        16384     5060701.544  17179869184 2199023255552        3.395      434.529
       float    coalesced     1024        1        2      1048576         8192     4986930.876  17179869184 2199023255552        3.445      440.957
       float    coalesced     1024        1        2      2097152         4096     4948624.774  17179869184 2199023255552        3.472      444.371
       float    coalesced     1024        1        2      4194304         2048     4929603.773  17179869184 2199023255552        3.485      446.085
       float    coalesced     1024        1        2      8388608         1024     4920359.562  17179869184 2199023255552        3.492      446.923
       float    coalesced     1024        1        2     16777216          512     4915557.855  17179869184 2199023255552        3.495      447.360
       float    coalesced     1024        1        2     33554432          256     4913239.609  17179869184 2199023255552        3.497      447.571
       float    coalesced     1024        1        2     67108864          128     4912105.143  17179869184 2199023255552        3.497      447.674
       float    coalesced     1024        1        2    134217728           64     4911472.012  17179869184 2199023255552        3.498      447.732
       float    coalesced     1024        1        2    268435456           32     4911229.045  17179869184 2199023255552        3.498      447.754
       float    coalesced     1024        1        2    536870912           16     4911009.558  17179869184 2199023255552        3.498      447.774
       float    coalesced     1024        1        2   1073741824            8     4910922.122  17179869184 2199023255552        3.498      447.782
       float    coalesced     1024        1        2   2147483648            4     4910904.212  17179869184 2199023255552        3.498      447.784
       float    coalesced     1024        1        2   4294967296            2     4910891.825  17179869184 2199023255552        3.498      447.785
       float    coalesced     1024        1        2   8588886016            1     4910273.798  17177772032 2198754820096        3.498      447.787
