        type trial_config ert_flop   unroll  buffers        nsize       trials       microsecs        bytes        flops         GB/s         GF/s
       float    coalesced       64       16        0           64       262144      154981.996     33554432    268435456        0.217        1.732
       float    coalesced       64       16        0          128       131072       78189.440     33554432    268435456        0.429        3.433
       float    coalesced       64       16        0          256        65536       39869.984     33554432    268435456        0.842        6.733
       float    coalesced       64       16        0          512        32768       20667.002     33554432    268435456        1.624       12.989
       float    coalesced       64       16        0         1024        16384       11109.788     33554432    268435456        3.020       24.162
       float    coalesced       64       16        0         2048         8192        6279.661     33554432    268435456        5.343       42.747
       float    coalesced       64       16        0         4096         4096        3857.051     33554432    268435456        8.700       69.596
       float    coalesced       64       16        0         8192         2048        2592.948     33554432    268435456       12.941      103.525
       float    coalesced       64       16        0        16384         1024        2036.933     33554432    268435456       16.473      131.784
       float    coalesced       64       16        0        32768         1024        3053.843     67108864    536870912       21.975      175.802
       float    coalesced       64       16        0        65536         1024        5203.399    134217728   1073741824       25.794      206.354
       float    coalesced       64       16        0       131072         1024        9549.369    268435456   2147483648       28.110      224.882
       float    coalesced       64       16        0       262144         1024       18099.174    536870912   4294967296       29.663      237.302
       float    coalesced       64       16        0       524288         1024       35136.446   1073741824   8589934592       30.559      244.474
       float    coalesced       64       16        0      1048576         1024       69237.262   2147483648  17179869184       31.016      248.130
       float    coalesced       64       16        0      2097152         1024      137432.688   4294967296  34359738368       31.251      250.011
       float    coalesced       64       16        0      4194304         1024      273826.695   8589934592  68719476736       31.370      250.960
       float    coalesced       64       16        0      8388608         1024      546645.339  17179869184 137438953472       31.428      251.423
       float    coalesced       64       16        0     16777216         1024     1092266.328  34359738368 274877906944       31.457      251.658
