        type trial_config ert_flop   unroll  buffers        nsize       trials       microsecs        bytes        flops         GB/s         GF/s
       float    coalesced     3030        1        0            4      4194304    98396779.408     33554432  12708741120        0.000        0.129
       float    coalesced     3030        1        0            8      2097152    49206645.584     33554432  12708741120        0.001        0.258
       float    coalesced     3030        1        0           16      1048576    24611567.489     33554432  12708741120        0.001        0.516
       float    coalesced     3030        1        0           32       524288    12314074.604     33554432  12708741120        0.003        1.032
       float    coalesced     3030        1        0           64       262144     6165317.143     33554432  12708741120        0.005        2.061
       float    coalesced     3030        1        0          128       131072     3090925.986     33554432  12708741120        0.011        4.112
       float    coalesced     3030        1        0          256        65536     1553696.881     33554432  12708741120        0.022        8.180
       float    coalesced     3030        1        0          512        32768      785108.937     33554432  12708741120        0.043       16.187
       float    coalesced     3030        1        0         1024        16384      400806.296     33554432  12708741120        0.084       31.708
       float    coalesced     3030        1        0         2048         8192      208684.064     33554432  12708741120        0.161       60.899
       float    coalesced     3030        1        0         4096         4096      112626.445     33554432  12708741120        0.298      112.840
       float    coalesced     3030        1        0         8192         2048       64562.511     33554432  12708741120        0.520      196.844
       float    coalesced     3030        1        0        16384         1024       40556.079     33554432  12708741120        0.827      313.362
       float    coalesced     3030        1        0        32768         1024       56702.834     67108864  25417482240        1.184      448.258
       float    coalesced     3030        1        0        65536         1024       89147.348    134217728  50834964480        1.506      570.235
       float    coalesced     3030        1        0       131072         1024      153853.447    268435456 101669928960        1.745      660.823
       float    coalesced     3030        1        0       262144         1024      283448.514    536870912 203339857920        1.894      717.378
       float    coalesced     3030        1        0       524288         1024      542571.857   1073741824 406679715840        1.979      749.541
       float    coalesced     3030        1        0      1048576         1024     1060767.986   2147483648 813359431680        2.024      766.765
       float    coalesced     3030        1        0      2097152         1024     2097250.715   4294967296 1626718863360        2.048      775.643
       float    coalesced     3030        1        0      4194304         1024     4170065.490   8589934592 3253437726720        2.060      780.189
       float    coalesced     3030        1        0      8388608         1024     8315904.094  17179869184 6506875453440        2.066      782.462
       float    coalesced     3030        1        0     16777216         1024    16607274.299  34359738368 13013750906880        2.069      783.618
