        type trial_config ert_flop   unroll  buffers        nsize       trials       microsecs        bytes        flops         GB/s         GF/s
        long    coalesced      220        1        1            8     67108864   621901749.866   1073741824  14763950080        0.002        0.024
        long    coalesced      220        1        1           16     67108864   622058684.160   2147483648  29527900160        0.003        0.047
        long    coalesced      220        1        1           32     67108864   628449928.851   4294967296  59055800320        0.007        0.094
        long    coalesced      220        1        1           64     67108864   628453123.590   8589934592 118111600640        0.014        0.188
        long    coalesced      220        1        1          128     33554432   316982639.846   8589934592 118111600640        0.027        0.373
        long    coalesced      220        1        1          256     16777216   160492006.694   8589934592 118111600640        0.054        0.736
        long    coalesced      220        1        1          512      8388608    81965600.741   8589934592 118111600640        0.105        1.441
        long    coalesced      220        1        1         1024      4194304    42084223.293   8589934592 118111600640        0.204        2.807
        long    coalesced      220        1        1         2048      2097152    22094435.989   8589934592 118111600640        0.389        5.346
        long    coalesced      220        1        1         4096      1048576    12111191.229   8589934592 118111600640        0.709        9.752
        long    coalesced      220        1        1         8192       524288     7109255.326   8589934592 118111600640        1.208       16.614
        long    coalesced      220        1        1        16384       262144     4603285.033   8589934592 118111600640        1.866       25.658
        long    coalesced      220        1        1        32768       131072     3350673.259   8589934592 118111600640        2.564       35.250
        long    coalesced      220        1        1        65536        65536     2722010.833   8589934592 118111600640        3.156       43.391
        long    coalesced      220        1        1       131072        32768     2410292.449   8589934592 118111600640        3.564       49.003
        long    coalesced      220        1        1       262144        16384     2253865.190   8589934592 118111600640        3.811       52.404
        long    coalesced      220        1        1       524288         8192     2173950.850   8589934592 118111600640        3.951       54.330
        long    coalesced      220        1        1      1048576         4096     2137498.903   8589934592 118111600640        4.019       55.257
        long    coalesced      220        1        1      2097152         2048     2119154.482   8589934592 118111600640        4.053       55.735
        long    coalesced      220        1        1      4194304         1024     2108260.623   8589934592 118111600640        4.074       56.023
        long    coalesced      220        1        1      8388608          512     2103400.740   8589934592 118111600640        4.084       56.153
        long    coalesced      220        1        1     16777216          256     2101023.691   8589934592 118111600640        4.088       56.216
        long    coalesced      220        1        1     33554432          128     2099756.917   8589934592 118111600640        4.091       56.250
        long    coalesced      220        1        1     67108864           64     2099230.556   8589934592 118111600640        4.092       56.264
        long    coalesced      220        1        1    134217728           32     2098924.104   8589934592 118111600640        4.093       56.272
        long    coalesced      220        1        1    268435456           16     2098773.368   8589934592 118111600640        4.093       56.276
        long    coalesced      220        1        1    536870912            8     2098684.723   8589934592 118111600640        4.093       56.279
        long    coalesced      220        1        1   1073741824            4     2098584.220   8589934592 118111600640        4.093       56.282
        long    coalesced      220        1        1   2147483648            2     2098628.420   8589934592 118111600640        4.093       56.280
        long    coalesced      220        1        1   4293918720            1     2098076.173   8587837440 118082764800        4.093       56.281
