        type trial_config ert_flop   unroll  buffers        nsize       trials       microsecs        bytes        flops         GB/s         GF/s
       float    coalesced     3032        1        0            4      4194304    99615471.045     33554432  12717129728        0.000        0.128
       float    coalesced     3032        1        0            8      2097152    49816381.309     33554432  12717129728        0.001        0.255
       float    coalesced     3032        1        0           16      1048576    24916474.359     33554432  12717129728        0.001        0.510
       float    coalesced     3032        1        0           32       524288    12466648.030     33554432  12717129728        0.003        1.020
       float    coalesced     3032        1        0           64       262144     6241678.924     33554432  12717129728        0.005        2.037
       float    coalesced     3032        1        0          128       131072     3129213.732     33554432  12717129728        0.011        4.064
       float    coalesced     3032        1        0          256        65536     1572958.827     33554432  12717129728        0.021        8.085
       float    coalesced     3032        1        0          512        32768      794807.648     33554432  12717129728        0.042       16.000
       float    coalesced     3032        1        0         1024        16384      405765.254     33554432  12717129728        0.083       31.341
       float    coalesced     3032        1        0         2048         8192      211234.963     33554432  12717129728        0.159       60.204
       float    coalesced     3032        1        0         4096         4096      114008.732     33554432  12717129728        0.294      111.545
       float    coalesced     3032        1        0         8192         2048       65397.203     33554432  12717129728        0.513      194.460
       float    coalesced     3032        1        0        16384         1024       41006.761     33554432  12717129728        0.818      310.123
       float    coalesced     3032        1        0        32768         1024       57401.156     67108864  25434259456        1.169      443.097
       float    coalesced     3032        1        0        65536         1024       90183.594    134217728  50868518912        1.488      564.055
       float    coalesced     3032        1        0       131072         1024      155714.563    268435456 101737037824        1.724      653.356
       float    coalesced     3032        1        0       262144         1024      286778.871    536870912 203474075648        1.872      709.516
       float    coalesced     3032        1        0       524288         1024      548961.260   1073741824 406948151296        1.956      741.306
       float    coalesced     3032        1        0      1048576         1024     1073239.256   2147483648 813896302592        2.001      758.355
       float    coalesced     3032        1        0      2097152         1024     2121850.574   4294967296 1627792605184        2.024      767.157
       float    coalesced     3032        1        0      4194304         1024     4219014.535   8589934592 3255585210368        2.036      771.646
       float    coalesced     3032        1        0      8388608         1024     8413350.087  17179869184 6511170420736        2.042      773.909
       float    coalesced     3032        1        0     16777216         1024    16801947.431  34359738368 13022340841472        2.045      775.049
