        type trial_config ert_flop   unroll  buffers        nsize       trials       microsecs        bytes        flops         GB/s         GF/s
       float    coalesced      128        4        0           16      1048576     1159278.458     33554432    536870912        0.029        0.463
       float    coalesced      128        4        0           32       524288      581935.554     33554432    536870912        0.058        0.923
       float    coalesced      128        4        0           64       262144      293205.575     33554432    536870912        0.114        1.831
       float    coalesced      128        4        0          128       131072      148850.191     33554432    536870912        0.225        3.607
       float    coalesced      128        4        0          256        65536       76744.500     33554432    536870912        0.437        6.996
       float    coalesced      128        4        0          512        32768       40641.607     33554432    536870912        0.826       13.210
       float    coalesced      128        4        0         1024        16384       22565.949     33554432    536870912        1.487       23.791
       float    coalesced      128        4        0         2048         8192       13524.541     33554432    536870912        2.481       39.696
       float    coalesced      128        4        0         4096         4096        8995.575     33554432    536870912        3.730       59.682
       float    coalesced      128        4        0         8192         2048        6739.233     33554432    536870912        4.979       79.664
       float    coalesced      128        4        0        16384         1024        5613.779     33554432    536870912        5.977       95.634
       float    coalesced      128        4        0        32768         1024        9873.971     67108864   1073741824        6.797      108.745
       float    coalesced      128        4        0        65536         1024       18428.986    134217728   2147483648        7.283      116.527
       float    coalesced      128        4        0       131072         1024       35354.675    268435456   4294967296        7.593      121.482
       float    coalesced      128        4        0       262144         1024       69323.593    536870912   8589934592        7.744      123.911
       float    coalesced      128        4        0       524288         1024      137307.177   1073741824  17179869184        7.820      125.120
       float    coalesced      128        4        0      1048576         1024      273118.871   2147483648  34359738368        7.863      125.805
       float    coalesced      128        4        0      2097152         1024      544809.495   4294967296  68719476736        7.883      126.135
       float    coalesced      128        4        0      4194304         1024     1088314.325   8589934592 137438953472        7.893      126.286
       float    coalesced      128        4        0      8388608         1024     2175037.108  17179869184 274877906944        7.899      126.378
       float    coalesced      128        4        0     16777216         1024     4348586.246  34359738368 549755813888        7.901      126.422
