        type trial_config ert_flop   unroll  buffers        nsize       trials       microsecs        bytes        flops         GB/s         GF/s
 signed_char    coalesced      128        2        2            4     16777216    16366063.766    134217728   8589934592        0.008        0.525
 signed_char    coalesced      128        2        2            8     16777216    16366021.672    268435456  17179869184        0.016        1.050
 signed_char    coalesced      128        2        2           16     16777216    16366035.661    536870912  34359738368        0.033        2.099
 signed_char    coalesced      128        2        2           32     16777216    17247828.875   1073741824  68719476736        0.062        3.984
 signed_char    coalesced      128        2        2           64     16777216    18704027.648   2147483648 137438953472        0.115        7.348
 signed_char    coalesced      128        2        2          128     16777216    21765212.266   4294967296 274877906944        0.197       12.629
 signed_char    coalesced      128        2        2          256     16777216    23805032.471   8589934592 549755813888        0.361       23.094
 signed_char    coalesced      128        2        2          512     16777216    27652064.565  17179869184 1099511627776        0.621       39.762
 signed_char    coalesced      128        2        2         1024      8388608    17457120.413  17179869184 1099511627776        0.984       62.984
 signed_char    coalesced      128        2        2         2048      4194304    12306228.752  17179869184 1099511627776        1.396       89.346
 signed_char    coalesced      128        2        2         4096      2097152     9819687.975  17179869184 1099511627776        1.750      111.970
 signed_char    coalesced      128        2        2         8192      1048576     8183089.269  17179869184 1099511627776        2.099      134.364
 signed_char    coalesced      128        2        2        16384       524288     7978813.892  17179869184 1099511627776        2.153      137.804
 signed_char    coalesced      128        2        2        32768       262144     7662012.020  17179869184 1099511627776        2.242      143.502
 signed_char    coalesced      128        2        2        65536       131072     7501758.348  17179869184 1099511627776        2.290      146.567
 signed_char    coalesced      128        2        2       131072        65536     7424180.219  17179869184 1099511627776        2.314      148.099
 signed_char    coalesced      128        2        2       262144        32768     7385801.804  17179869184 1099511627776        2.326      148.868
 signed_char    coalesced      128        2        2       524288        16384     7365896.957  17179869184 1099511627776        2.332      149.271
 signed_char    coalesced      128        2        2      1048576         8192     7355227.925  17179869184 1099511627776        2.336      149.487
 signed_char    coalesced      128        2        2      2097152         4096     7350978.517  17179869184 1099511627776        2.337      149.574
 signed_char    coalesced      128        2        2      4194304         2048     7348105.628  17179869184 1099511627776        2.338      149.632
 signed_char    coalesced      128        2        2      8388608         1024     7347309.175  17179869184 1099511627776        2.338      149.648
 signed_char    coalesced      128        2        2     16777216          512     7346177.744  17179869184 1099511627776        2.339      149.671
 signed_char    coalesced      128        2        2     33554432          256     7346280.332  17179869184 1099511627776        2.339      149.669
 signed_char    coalesced      128        2        2     67108864          128     7345741.034  17179869184 1099511627776        2.339      149.680
 signed_char    coalesced      128        2        2    134217728           64     7346076.451  17179869184 1099511627776        2.339      149.673
 signed_char    coalesced      128        2        2    268435456           32     7345562.372  17179869184 1099511627776        2.339      149.684
 signed_char    coalesced      128        2        2    536870912           16     7346072.676  17179869184 1099511627776        2.339      149.673
 signed_char    coalesced      128        2        2   1073741824            8     7345534.778  17179869184 1099511627776        2.339      149.684
 signed_char    coalesced      128        2        2   2147483648            4     7346090.022  17179869184 1099511627776        2.339      149.673
 signed_char    coalesced      128        2        2   4294967296            2     7345537.333  17179869184 1099511627776        2.339      149.684
 signed_char    coalesced      128        2        2   8588886016            1     7345201.581  17177772032 1099377410048        2.339      149.673
