        type trial_config ert_flop   unroll  buffers        nsize       trials       microsecs        bytes        flops         GB/s         GF/s
        long    coalesced      213        1        2           16     16777216    39278625.375    536870912   7147094016        0.014        0.182
        long    coalesced      213        1        2           32     16777216    39278570.632   1073741824  14294188032        0.027        0.364
        long    coalesced      213        1        2           64     16777216    39278581.183   2147483648  28588376064        0.055        0.728
        long    coalesced      213        1        2          128     16777216    40285746.367   4294967296  57176752128        0.107        1.419
        long    coalesced      213        1        2          256     16777216    43642838.940   8589934592 114353504256        0.197        2.620
        long    coalesced      213        1        2          512     16777216    43642827.213  17179869184 228707008512        0.394        5.240
        long    coalesced      213        1        2         1024      8388608    23380298.221  17179869184 228707008512        0.735        9.782
        long    coalesced      213        1        2         2048      4194304    12808598.976  17179869184 228707008512        1.341       17.856
        long    coalesced      213        1        2         4096      2097152     7391531.547  17179869184 228707008512        2.324       30.942
        long    coalesced      213        1        2         8192      1048576     4732492.996  17179869184 228707008512        3.630       48.327
        long    coalesced      213        1        2        16384       524288     3409966.732  17179869184 228707008512        5.038       67.070
        long    coalesced      213        1        2        32768       262144     2728083.805  17179869184 228707008512        6.297       83.834
        long    coalesced      213        1        2        65536       131072     2387089.445  17179869184 228707008512        7.197       95.810
        long    coalesced      213        1        2       131072        65536     2216696.346  17179869184 228707008512        7.750      103.175
        long    coalesced      213        1        2       262144        32768     2131421.805  17179869184 228707008512        8.060      107.303
        long    coalesced      213        1        2       524288        16384     2088774.295  17179869184 228707008512        8.225      109.493
        long    coalesced      213        1        2      1048576         8192     2067438.724  17179869184 228707008512        8.310      110.623
        long    coalesced      213        1        2      2097152         4096     2056811.128  17179869184 228707008512        8.353      111.195
        long    coalesced      213        1        2      4194304         2048     2051492.124  17179869184 228707008512        8.374      111.483
        long    coalesced      213        1        2      8388608         1024     2048837.766  17179869184 228707008512        8.385      111.628
        long    coalesced      213        1        2     16777216          512     2047494.866  17179869184 228707008512        8.391      111.701
        long    coalesced      213        1        2     33554432          256     2046861.781  17179869184 228707008512        8.393      111.735
        long    coalesced      213        1        2     67108864          128     2046507.016  17179869184 228707008512        8.395      111.755
        long    coalesced      213        1        2    134217728           64     2046318.724  17179869184 228707008512        8.396      111.765
        long    coalesced      213        1        2    268435456           32     2046275.475  17179869184 228707008512        8.396      111.767
        long    coalesced      213        1        2    536870912           16     2046211.233  17179869184 228707008512        8.396      111.771
        long    coalesced      213        1        2   1073741824            8     2046170.632  17179869184 228707008512        8.396      111.773
        long    coalesced      213        1        2   2147483648            4     2046182.734  17179869184 228707008512        8.396      111.773
        long    coalesced      213        1        2   4294967296            2     2046189.435  17179869184 228707008512        8.396      111.772
        long    coalesced      213        1        2   8588886016            1     2045917.261  17177772032 228679090176        8.396      111.773
