        type trial_config ert_flop   unroll  buffers        nsize       trials       microsecs        bytes        flops         GB/s         GF/s
       float    coalesced      256        2        2           16     16777216    41659061.625    536870912  17179869184        0.013        0.412
       float    coalesced      256        2        2           32     16777216    42100342.983   1073741824  34359738368        0.026        0.816
       float    coalesced      256        2        2           64     16777216    43642785.830   2147483648  68719476736        0.049        1.575
       float    coalesced      256        2        2          128     16777216    43642804.436   4294967296 137438953472        0.098        3.149
       float    coalesced      256        2        2          256     16777216    43815790.271   8589934592 274877906944        0.196        6.273
       float    coalesced      256        2        2          512     16777216    45824934.938  17179869184 549755813888        0.375       11.997
       float    coalesced      256        2        2         1024      8388608    24549278.274  17179869184 549755813888        0.700       22.394
       float    coalesced      256        2        2         2048      4194304    13093194.494  17179869184 549755813888        1.312       41.988
       float    coalesced      256        2        2         4096      2097152     7637787.539  17179869184 549755813888        2.249       71.978
       float    coalesced      256        2        2         8192      1048576     4676386.135  17179869184 549755813888        3.674      117.560
       float    coalesced      256        2        2        16384       524288     3351564.104  17179869184 549755813888        5.126      164.030
       float    coalesced      256        2        2        32768       262144     2634853.035  17179869184 549755813888        6.520      208.648
       float    coalesced      256        2        2        65536       131072     2291456.593  17179869184 549755813888        7.497      239.915
       float    coalesced      256        2        2       131072        65536     2116219.000  17179869184 549755813888        8.118      259.782
       float    coalesced      256        2        2       262144        32768     2038581.787  17179869184 549755813888        8.427      269.676
       float    coalesced      256        2        2       524288        16384     1989804.697  17179869184 549755813888        8.634      276.286
       float    coalesced      256        2        2      1048576         8192     1968464.570  17179869184 549755813888        8.728      279.282
       float    coalesced      256        2        2      2097152         4096     1957199.244  17179869184 549755813888        8.778      280.889
       float    coalesced      256        2        2      4194304         2048     1951738.699  17179869184 549755813888        8.802      281.675
       float    coalesced      256        2        2      8388608         1024     1949177.264  17179869184 549755813888        8.814      282.045
       float    coalesced      256        2        2     16777216          512     1947754.581  17179869184 549755813888        8.820      282.251
       float    coalesced      256        2        2     33554432          256     1947158.313  17179869184 549755813888        8.823      282.338
       float    coalesced      256        2        2     67108864          128     1946834.340  17179869184 549755813888        8.825      282.384
       float    coalesced      256        2        2    134217728           64     1946557.529  17179869184 549755813888        8.826      282.425
       float    coalesced      256        2        2    268435456           32     1946503.928  17179869184 549755813888        8.826      282.432
       float    coalesced      256        2        2    536870912           16     1946441.499  17179869184 549755813888        8.826      282.441
       float    coalesced      256        2        2   1073741824            8     1946401.239  17179869184 549755813888        8.826      282.447
       float    coalesced      256        2        2   2147483648            4     1946442.863  17179869184 549755813888        8.826      282.441
       float    coalesced      256        2        2   4294967296            2     1946414.680  17179869184 549755813888        8.826      282.445
       float    coalesced      256        2        2   8588886016            1     1946182.661  17177772032 549688705024        8.826      282.445
