        type trial_config ert_flop   unroll  buffers        nsize       trials       microsecs        bytes        flops         GB/s         GF/s
      double    coalesced      157        1        2           16     16777216   135626990.544    536870912   5268045824        0.004        0.039
      double    coalesced      157        1        2           32     16777216   135956778.230   1073741824  10536091648        0.008        0.077
      double    coalesced      157        1        2           64     16777216   136164793.057   2147483648  21072183296        0.016        0.155
      double    coalesced      157        1        2          128     16777216   137004648.369   4294967296  42144366592        0.031        0.308
      double    coalesced      157        1        2          256     16777216   138629196.258   8589934592  84288733184        0.062        0.608
      double    coalesced      157        1        2          512     16777216   140998940.264  17179869184 168577466368        0.122        1.196
      double    coalesced      157        1        2         1024      8388608    72010404.325  17179869184 168577466368        0.239        2.341
      double    coalesced      157        1        2         2048      4194304    37096475.320  17179869184 168577466368        0.463        4.544
      double    coalesced      157        1        2         4096      2097152    19639489.236  17179869184 168577466368        0.875        8.584
      double    coalesced      157        1        2         8192      1048576    10911054.947  17179869184 168577466368        1.575       15.450
      double    coalesced      157        1        2        16384       524288     6478603.828  17179869184 168577466368        2.652       26.021
      double    coalesced      157        1        2        32768       262144     4282516.918  17179869184 168577466368        4.012       39.364
      double    coalesced      157        1        2        65536       131072     3194345.887  17179869184 168577466368        5.378       52.774
      double    coalesced      157        1        2       131072        65536     2626698.887  17179869184 168577466368        6.540       64.178
      double    coalesced      157        1        2       262144        32768     2349799.536  17179869184 168577466368        7.311       71.741
      double    coalesced      157        1        2       524288        16384     2210870.361  17179869184 168577466368        7.771       76.249
      double    coalesced      157        1        2      1048576         8192     2141994.985  17179869184 168577466368        8.020       78.701
      double    coalesced      157        1        2      2097152         4096     2107056.919  17179869184 168577466368        8.153       80.006
      double    coalesced      157        1        2      4194304         2048     2089687.038  17179869184 168577466368        8.221       80.671
      double    coalesced      157        1        2      8388608         1024     2080966.678  17179869184 168577466368        8.256       81.009
      double    coalesced      157        1        2     16777216          512     2076623.922  17179869184 168577466368        8.273       81.179
      double    coalesced      157        1        2     33554432          256     2074455.060  17179869184 168577466368        8.282       81.263
      double    coalesced      157        1        2     67108864          128     2073358.347  17179869184 168577466368        8.286       81.306
      double    coalesced      157        1        2    134217728           64     2072823.400  17179869184 168577466368        8.288       81.327
      double    coalesced      157        1        2    268435456           32     2072579.853  17179869184 168577466368        8.289       81.337
      double    coalesced      157        1        2    536870912           16     2072396.646  17179869184 168577466368        8.290       81.344
      double    coalesced      157        1        2   1073741824            8     2072344.764  17179869184 168577466368        8.290       81.346
      double    coalesced      157        1        2   2147483648            4     2072333.628  17179869184 168577466368        8.290       81.347
      double    coalesced      157        1        2   4294967296            2     2072315.279  17179869184 168577466368        8.290       81.347
      double    coalesced      157        1        2   8588886016            1     2072045.283  17177772032 168556888064        8.290       81.348
