        type trial_config ert_flop   unroll  buffers        nsize       trials       microsecs        bytes        flops         GB/s         GF/s
       float    coalesced       64        8        2           64     16777216    14547875.598   2147483648  17179869184        0.148        1.181
       float    coalesced       64        8        2          128     16777216    14547887.738   4294967296  34359738368        0.295        2.362
       float    coalesced       64        8        2          256     16777216    14547898.713   8589934592  68719476736        0.590        4.724
       float    coalesced       64        8        2          512     16777216    15107452.316  17179869184 137438953472        1.137        9.097
       float    coalesced       64        8        2         1024      8388608     8183373.957  17179869184 137438953472        2.099       16.795
       float    coalesced       64        8        2         2048      4194304     4476609.385  17179869184 137438953472        3.838       30.702
       float    coalesced       64        8        2         4096      2097152     2435305.693  17179869184 137438953472        7.055       56.436
       float    coalesced       64        8        2         8192      1048576     1466245.553  17179869184 137438953472       11.717       93.735
       float    coalesced       64        8        2        16384       524288      980553.759  17179869184 137438953472       17.521      140.165
       float    coalesced       64        8        2        32768       262144      782398.701  17179869184 137438953472       21.958      175.664
       float    coalesced       64        8        2        65536       131072      757784.561  17179869184 137438953472       22.671      181.369
       float    coalesced       64        8        2       131072        65536      760584.221  17179869184 137438953472       22.588      180.702
       float    coalesced       64        8        2       262144        32768      757899.927  17179869184 137438953472       22.668      181.342
       float    coalesced       64        8        2       524288        16384      754875.756  17179869184 137438953472       22.759      182.068
       float    coalesced       64        8        2      1048576         8192      754314.959  17179869184 137438953472       22.775      182.204
       float    coalesced       64        8        2      2097152         4096      754416.818  17179869184 137438953472       22.772      182.179
       float    coalesced       64        8        2      4194304         2048      754312.260  17179869184 137438953472       22.776      182.204
       float    coalesced       64        8        2      8388608         1024      754369.314  17179869184 137438953472       22.774      182.191
       float    coalesced       64        8        2     16777216          512      754507.713  17179869184 137438953472       22.770      182.157
       float    coalesced       64        8        2     33554432          256      754309.085  17179869184 137438953472       22.776      182.205
       float    coalesced       64        8        2     67108864          128      754399.448  17179869184 137438953472       22.773      182.183
       float    coalesced       64        8        2    134217728           64      754324.981  17179869184 137438953472       22.775      182.201
       float    coalesced       64        8        2    268435456           32      754511.195  17179869184 137438953472       22.770      182.156
       float    coalesced       64        8        2    536870912           16      754335.330  17179869184 137438953472       22.775      182.199
       float    coalesced       64        8        2   1073741824            8      754348.965  17179869184 137438953472       22.774      182.195
       float    coalesced       64        8        2   2147483648            4      754415.057  17179869184 137438953472       22.772      182.179
       float    coalesced       64        8        2   4294967296            2      754318.120  17179869184 137438953472       22.775      182.203
       float    coalesced       64        8        2   8588886016            1      754234.631  17177772032 137422176256       22.775      182.201
