        type trial_config ert_flop   unroll  buffers        nsize       trials       microsecs        bytes        flops         GB/s         GF/s
 signed_char    coalesced      512        1        2            2     16777216    48236504.348     67108864  17179869184        0.001        0.356
 signed_char    coalesced      512        1        2            4     16777216    49097822.230    134217728  34359738368        0.003        0.700
 signed_char    coalesced      512        1        2            8     16777216    49097794.833    268435456  68719476736        0.005        1.400
 signed_char    coalesced      512        1        2           16     16777216    49097807.748    536870912 137438953472        0.011        2.799
 signed_char    coalesced      512        1        2           32     16777216    50916280.688   1073741824 274877906944        0.021        5.399
 signed_char    coalesced      512        1        2           64     16777216    53239147.584   2147483648 549755813888        0.040       10.326
 signed_char    coalesced      512        1        2          128     16777216    58190008.264   4294967296 1099511627776        0.074       18.895
 signed_char    coalesced      512        1        2          256     16777216    62018256.583   8589934592 2199023255552        0.139       35.458
 signed_char    coalesced      512        1        2          512     16777216    69314481.502  17179869184 4398046511104        0.248       63.451
 signed_char    coalesced      512        1        2         1024      8388608    41846518.835  17179869184 4398046511104        0.411      105.099
 signed_char    coalesced      512        1        2         2048      4194304    28367675.998  17179869184 4398046511104        0.606      155.037
 signed_char    coalesced      512        1        2         4096      2097152    21503200.085  17179869184 4398046511104        0.799      204.530
 signed_char    coalesced      512        1        2         8192      1048576    18076259.887  17179869184 4398046511104        0.950      243.305
 signed_char    coalesced      512        1        2        16384       524288    16366048.508  17179869184 4398046511104        1.050      268.730
 signed_char    coalesced      512        1        2        32768       262144    15514057.926  17179869184 4398046511104        1.107      283.488
 signed_char    coalesced      512        1        2        65536       131072    15083618.490  17179869184 4398046511104        1.139      291.578
 signed_char    coalesced      512        1        2       131072        65536    14866644.083  17179869184 4398046511104        1.156      295.833
 signed_char    coalesced      512        1        2       262144        32768    14760558.619  17179869184 4398046511104        1.164      297.959
 signed_char    coalesced      512        1        2       524288        16384    14705659.157  17179869184 4398046511104        1.168      299.072
 signed_char    coalesced      512        1        2      1048576         8192    14679389.449  17179869184 4398046511104        1.170      299.607
 signed_char    coalesced      512        1        2      2097152         4096    14665946.802  17179869184 4398046511104        1.171      299.882
 signed_char    coalesced      512        1        2      4194304         2048    14659082.229  17179869184 4398046511104        1.172      300.022
 signed_char    coalesced      512        1        2      8388608         1024    14655646.300  17179869184 4398046511104        1.172      300.092
 signed_char    coalesced      512        1        2     16777216          512    14654015.082  17179869184 4398046511104        1.172      300.126
 signed_char    coalesced      512        1        2     33554432          256    14653280.447  17179869184 4398046511104        1.172      300.141
 signed_char    coalesced      512        1        2     67108864          128    14652795.417  17179869184 4398046511104        1.172      300.151
 signed_char    coalesced      512        1        2    134217728           64    14652407.898  17179869184 4398046511104        1.172      300.159
 signed_char    coalesced      512        1        2    268435456           32    14652426.284  17179869184 4398046511104        1.172      300.158
 signed_char    coalesced      512        1        2    536870912           16    14652328.471  17179869184 4398046511104        1.173      300.160
 signed_char    coalesced      512        1        2   1073741824            8    14652213.323  17179869184 4398046511104        1.173      300.163
 signed_char    coalesced      512        1        2   2147483648            4    14652370.500  17179869184 4398046511104        1.172      300.159
 signed_char    coalesced      512        1        2   4294967296            2    14652255.234  17179869184 4398046511104        1.173      300.162
 signed_char    coalesced      512        1        2   8588886016            1    14650356.312  17177772032 4397509640192        1.173      300.164
